"action","record_type","libid","serial_title","nlm_unique_id","holdings_format","begin_volume","end_volume","begin_year","end_year","issns","currently_received","retention_policy","limited_retention_period","limited_retention_type","embargo_period","has_epub_ahead_of_print","has_supplements","ignore_warnings","last_modified"
"","HOLDING","MAUTUF","Acta anaesthesiologica Scandinavica","NLM_0370270","Print","","","","","0001-5172 (Print), 1399-6576 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2022-Sep-09"
"","RANGE","","","","","43","48","1999","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta anaesthesiologica Scandinavica. Supplementum","NLM_0370271","Electronic","","","","","0515-2720 (Print)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta anatomica. Supplementum","NLM_0370273","Print","","","","","0365-0332 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","35","64","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta cardiologica","NLM_0370570","Print","","","","","0001-5385 (Print), 1784-973X (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2023-Feb-03"
"","RANGE","","","","","55","64","2000","2009","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta cardiologica. Supplementum","NLM_0376316","Print","","","","","0373-7934 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","30","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta dermato-venereologica","NLM_0370310","Electronic","","","","","0001-5555 (Print), 1651-2057 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1998","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta dermato-venereologica","NLM_0370310","Print","","","","","0001-5555 (Print), 1651-2057 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2022-Sep-09"
"","RANGE","","","","","78","93","1998","2013","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta dermato-venereologica. Supplementum","NLM_0370311","Print","","","","","0365-8341 (Print)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","8","","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta endocrinologica. Supplementum","NLM_0370313","Print","","","","","0300-9750 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","24","289","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta gynecologica Scandinavica","NLM_14540200R","Electronic","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1921","1925","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta haematologica","NLM_0141053","Electronic","","","","","0001-5792 (Print), 1421-9662 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1998","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta histochemica. Supplementband","NLM_0061372","Print","","","","","0567-7556 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","6","42","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta medica Iugoslavica","NLM_0370324","Print","","","","","0375-8338 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","18","25","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta medica Scandinavica. Supplementum","NLM_0370331","Print","","","","","0365-463X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","180","730","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta neurologica Scandinavica","NLM_0370336","Electronic","","","","","0001-6314 (Print), 1600-0404 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta neurologica Scandinavica","NLM_0370336","Print","","","","","0001-6314 (Print), 1600-0404 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2022-Sep-09"
"","RANGE","","","","","95","110","1997","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta neurologica Scandinavica. Supplementum","NLM_0370337","Print","","","","","0065-1427 (Print), 1600-5449 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","2","","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta neuropathologica","NLM_0412041","Electronic","","","","","0001-6322 (Print), 1432-0533 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1961","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta neuropathologica","NLM_0412041","Print","","","","","0001-6322 (Print), 1432-0533 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","93","108","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta obstetricia et gynecologica Scandinavica","NLM_0370343","Electronic","","","","","0001-6349 (Print), 1600-0412 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1926","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta obstetricia et gynecologica Scandinavica","NLM_0370343","Print","","","","","0001-6349 (Print), 1600-0412 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta obstetricia et gynecologica Scandinavica. Supplement","NLM_0337655","Print","","","","","0300-8835 (Print)","Yes","Permanently Retained","0","Years","0","No","No","Yes","2018-Oct-12"
"","RANGE","","","","","","","1965","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta odontologica Scandinavica","NLM_0370344","Electronic","","","","","0001-6357 (Print), 1502-3850 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1939","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta odontologica Scandinavica","NLM_0370344","Print","","","","","0001-6357 (Print), 1502-3850 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","69","1939","2011","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta odontologica Scandinavica. Supplementum","NLM_0370345","Print","","","","","0365-530X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2023-Oct-04"
"","RANGE","","","","","1","70","1940","1975","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta oncologica (Stockholm, Sweden)","NLM_8709065","Electronic","","","","","0284-186X (Print), 1651-226X (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2023-May-03"
"","RANGE","","","","","36","","1997","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta ophthalmologica","NLM_0370347","Electronic","","","","","0001-639X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1923","1994","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta ophthalmologica","NLM_101468102","Electronic","","","","","1755-375X (Print), 1755-3768 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2008","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta ophthalmologica Scandinavica","NLM_9507578","Electronic","","","","","1395-3907 (Print), 1600-0420 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1995","2007","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta ophthalmologica Scandinavica","NLM_9507578","Print","","","","","1395-3907 (Print), 1600-0420 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta ophthalmologica Scandinavica. Supplement","NLM_9516974","Print","","","","","1395-3931 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2022-Sep-09"
"","RANGE","","","","","220","237","1997","2003","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta orthopaedica","NLM_101231512","Electronic","","","","","1745-3674 (Print), 1745-3682 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2005","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta orthopaedica","NLM_101231512","Print","","","","","1745-3674 (Print), 1745-3682 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2023-Oct-10"
"","RANGE","","","","","76","77","2005","2006","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta orthopaedica Scandinavica","NLM_0370352","Electronic","","","","","0001-6470 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1930","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta orthopaedica. Supplementum","NLM_101244827","Print","","","","","1745-3690 (Print), 1745-3704 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","Yes","2018-Oct-12"
"","RANGE","","","","","","","2005","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta oto-laryngologica","NLM_0370354","Print","","","","","0001-6489 (Print), 1651-2251 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2023-Feb-03"
"","RANGE","","","","","53","112","1961","1992","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta oto-laryngologica. Supplementum","NLM_0370355","Print","","","","","0365-5237 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2023-Feb-24"
"","RANGE","","","","","159","465","1960","1989","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica","NLM_0000213","Electronic","","","","","0365-1436 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1921","1964","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica (Oslo, Norway : 1992)","NLM_9205968","Electronic","","","","","0803-5253 (Print), 1651-2227 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1992","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica (Oslo, Norway : 1992)","NLM_9205968","Print","","","","","0803-5253 (Print), 1651-2227 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","2010","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica (Oslo, Norway : 1992). Supplement","NLM_9315043","Electronic","","","","","0803-5326 (Print)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","380","","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica (Oslo, Norway : 1992). Supplement","NLM_9315043","Print","","","","","0803-5326 (Print)","No","Permanently Retained","0","Months","0","No","No","No","2019-Mar-05"
"","RANGE","","","","","86","95","1997","2006","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica Scandinavica","NLM_0000211","Electronic","","","","","0001-656X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1965","1991","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica Scandinavica. Supplement","NLM_0173166","Electronic","","","","","0300-8843 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","158","379","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta paediatrica. Supplementum","NLM_14540280R","Electronic","","","","","0365-5741 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","101","157","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica et microbiologica Scandinavica","NLM_7508471","Electronic","","","","","0365-5555 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1925","1969","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica et microbiologica Scandinavica. Section A, Pathology","NLM_7508468","Electronic","","","","","0365-4184 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","78","89","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica et microbiologica Scandinavica. Section B, Microbiology","NLM_7508472","Electronic","","","","","0105-0656 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","83","89","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica et microbiologica Scandinavica. Section B: Microbiology and immunology","NLM_7508470","Electronic","","","","","0365-5571 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","78","82","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica et microbiologica Scandinavica. Section C, Immunology","NLM_7508469","Electronic","","","","","0304-1328 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","83","89","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica et microbiologica Scandinavica. Supplement","NLM_8211440","Print","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","87","277","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology","NLM_8206622","Print","","","","","0108-0164 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","90","95","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology","NLM_8206623","Print","","","","","0108-0180 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","90","95","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology","NLM_8206624","Print","","","","","0108-0202 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","90","95","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement","NLM_8211441","Print","","","","","0108-0172 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","278","283","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta physiologica (Oxford, England)","NLM_101262545","Electronic","","","","","1748-1708 (Print), 1748-1716 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2006","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta physiologica Scandinavica","NLM_0370362","Electronic","","","","","0001-6772 (Print), 1365-201X (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1940","2005","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta physiologica Scandinavica","NLM_0370362","Print","","","","","0001-6772 (Print), 1365-201X (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2022-Sep-09"
"","RANGE","","","","","157","182","1996","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta physiologica Scandinavica. Supplementum","NLM_0376307","Electronic","","","","","0302-2994 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1940","1996","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychiatrica et neurologica","NLM_14610150R","Electronic","","","","","0365-558X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1926","1950","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychiatrica et neurologica Scandinavica","NLM_14610160R","Electronic","","","","","0365-5598 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1951","1961","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychiatrica et neurologica Scandinavica. Supplementum","NLM_14610180R","Electronic","","","","","0365-5067 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1951","1961","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychiatrica Scandinavica","NLM_0370364","Electronic","","","","","0001-690X (Print), 1600-0447 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychiatrica Scandinavica","NLM_0370364","Print","","","","","0001-690X (Print), 1600-0447 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","2003","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychiatrica Scandinavica. Supplementum","NLM_0370365","Print","","","","","0065-1591 (Print), 1600-5473 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2022-Sep-09"
"","RANGE","","","","","160","263","","","","","","","","","","","",""
"","RANGE","","","","","326","326","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta psychologica","NLM_0370366","Electronic","","","","","0001-6918 (Print), 1873-6297 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1936","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta radiologica (Stockholm, Sweden : 1987)","NLM_8706123","Electronic","","","","","0284-1851 (Print), 1600-0455 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1987","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta radiologica (Stockholm, Sweden : 1987)","NLM_8706123","Print","","","","","0284-1851 (Print), 1600-0455 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2023-Oct-05"
"","RANGE","","","","","41","47","2000","2006","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta radiologica. Supplement","NLM_101470699","Print","","","","","1600-5481 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2004","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta radiologica. Supplementum","NLM_0370370","Print","","","","","0365-5954 (Print)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","143","","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta rheumatologica Scandinavica","NLM_0321403","Electronic","","","","","0001-6934 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1959","1971","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta rheumatologica Scandinavica","NLM_0321403","Print","","","","","0001-6934 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","9","17","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta rheumatologica Scandinavica. Supplementum","NLM_0400312","Print","","","","","0065-163X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","1","","","","","","","","","","","",""
"","RANGE","","","","","5","15","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta socio-medica Scandinavica. Supplement","NLM_0414076","Print","","","","","0301-7664 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","6","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta tuberculosea Scandinavica. Supplementum","NLM_14610300R","Print","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","25","28","","","","","","","","","","","",""
"","RANGE","","","","","39","41","","","","","","","","","","","",""
"","RANGE","","","","","44","49","","","","","","","","","","","",""
"","RANGE","","","","","51","51","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acute pain : international journal of acute pain management","NLM_9815768","Electronic","","","","","1366-0071 (Print)","No","Permanently Retained","0","Years","0","No","No","Yes","2018-Oct-12"
"","RANGE","","","","","","","1997","2009","","","","","","","","","",""
"","HOLDING","MAUTUF","Addiction (Abingdon, England)","NLM_9304118","Electronic","","","","","0965-2140 (Print), 1360-0443 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1997","","","","","","","","","","",""
"","HOLDING","MAUTUF","Addiction (Abingdon, England)","NLM_9304118","Print","","","","","0965-2140 (Print), 1360-0443 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","88","99","1993","2004","","","","","","","","","",""
"","HOLDING","MAUTUF","Adolescent medicine clinics","NLM_101196463","Print","","","","","1547-3368 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","15","17","2004","2006","","","","","","","","","",""
"","HOLDING","MAUTUF","Adolescent medicine (Philadelphia, Pa.)","NLM_9006270","Electronic","","","","","1041-3499 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2002","2003","","","","","","","","","",""
"","HOLDING","MAUTUF","Adolescent medicine (Philadelphia, Pa.)","NLM_9006270","Print","","","","","1041-3499 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","14","1990","2003","","","","","","","","","",""
"","HOLDING","MAUTUF","Adolescent psychiatry","NLM_1302147","Print","","","","","0065-2008 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","2","2","","","","","","","","","","","",""
"","RANGE","","","","","4","23","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Advances in anatomic pathology","NLM_9435676","Electronic","","","","","1072-4109 (Print), 1533-4031 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1994","1999","","","","","","","","","",""
"","HOLDING","MAUTUF","Advances in anatomy, embryology, and cell biology","NLM_0407712","Print","","","","","0301-5556 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","47","138","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Advances in applied microbiology","NLM_0370413","Print","","","","","0065-2164 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","46","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Advances in biochemical psychopharmacology","NLM_0211233","Print","","","","","0065-2229 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","21","","","","","","","","","","","",""
"","RANGE","","","","","23","23","","","","","","","","","","","",""
"","RANGE","","","","","25","49","","","","","","","","","","","",""
